datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Amazonia,,,,-12.0126,-57.88587,11.1
2022/05/06 17:34:00,AQUA_M-T,Bolivia,Santa Cruz,Cordillera,,,,,-18.49129,-62.20104,17.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,TOCANTINS,PEDRO AFONSO,Cerrado,,,,-9.21609,-47.88024,30.5
2022/05/06 17:34:00,AQUA_M-T,Bolivia,Santa Cruz,Chiquitos,,,,,-18.62196,-58.24609,107.4
2022/05/06 17:41:00,AQUA_M-T,Venezuela,Monagas,Piar,,,,,10.09226,-63.50169,5.2
2022/05/06 17:41:00,AQUA_M-T,Venezuela,Guarico,Zaraza,,,,,8.93796,-65.01112,19
2022/05/06 17:34:00,AQUA_M-T,Bolivia,Santa Cruz,Chiquitos,,,,,-18.62334,-58.25655,62.6
2022/05/06 17:41:00,AQUA_M-T,Venezuela,Anzoategui,Santa Ana,,,,,8.98582,-64.49537,24.4
2022/05/06 17:37:00,AQUA_M-T,Brasil,RONDONIA,MACHADINHO D'OESTE,Amazonia,,,,-9.25311,-61.79613,18.2
2022/05/06 17:34:00,AQUA_M-T,Bolivia,Santa Cruz,Chiquitos,,,,,-18.63139,-58.24471,218.9
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,,,,-11.42123,-53.97136,13.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazonia,,,,-12.05068,-57.64171,8.4
2022/05/06 17:34:00,AQUA_M-T,Bolivia,Santa Cruz,Chiquitos,,,,,-18.63278,-58.25516,280.7
2022/05/06 17:41:00,AQUA_M-T,Venezuela,Monagas,Cedeno,,,,,9.86019,-63.512,5.9
2022/05/06 17:37:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazonia,,,,-9.37035,-58.26348,6.8
2022/05/06 17:34:00,AQUA_M-T,Paraguay,Alto Paraguay,Mayor Pablo Lagerenza,,,,,-19.78485,-60.49148,9.1
2022/05/06 17:41:00,AQUA_M-T,Venezuela,Monagas,Piar,,,,,9.86446,-63.29497,9.4
2022/05/06 17:41:00,AQUA_M-T,Venezuela,Monagas,Cedeno,,,,,9.86926,-63.51337,21.8
2022/05/06 17:34:00,AQUA_M-T,Paraguay,Alto Paraguay,Mayor Pablo Lagerenza,,,,,-20.59369,-59.43249,229.3
2022/05/06 17:37:00,AQUA_M-T,Brasil,MATO GROSSO,COLNIZA,Amazonia,,,,-9.91849,-59.13891,6.9
2022/05/06 17:34:00,AQUA_M-T,Paraguay,Alto Paraguay,Mayor Pablo Lagerenza,,,,,-20.59525,-59.44534,193.9
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,,,,-12.05077,-54.01736,15.3
2022/05/06 17:34:00,AQUA_M-T,Paraguay,Boqueron,General Eugenio A. Garay,,,,,-20.96428,-60.84021,17.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Mata Atlantica,,,,-18.82406,-49.56611,26.5
2022/05/06 17:34:00,AQUA_M-T,Paraguay,Boqueron,General Eugenio A. Garay,,,,,-20.96613,-60.85636,37.3
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Alto Paraguay,La Victoria,,,,,-21.70058,-58.44827,87
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,,,,-11.16995,-54.27442,12.7
2022/05/06 17:32:00,AQUA_M-T,Brasil,SAO PAULO,SUD MENNUCCI,Mata Atlantica,,,,-20.65263,-50.94631,13.1
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Alto Paraguay,La Victoria,,,,,-21.70207,-58.45999,41
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,,,,-11.4232,-53.98413,12.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,,,,-12.06081,-57.26072,11
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,,,,-10.58756,-53.63042,36.2
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Boqueron,Doctor Pedro P. Pena,,,,,-21.88087,-62.46307,40.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,BURITIS,Cerrado,,,,-15.46929,-46.28628,55
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Boqueron,Doctor Pedro P. Pena,,,,,-21.88316,-62.48508,25.4
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Boqueron,Doctor Pedro P. Pena,,,,,-21.89406,-62.46156,136.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,,,,-12.73504,-55.18787,15
2022/05/06 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,ARINOS,Cerrado,,,,-15.47156,-46.27769,38.2
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Boqueron,Doctor Pedro P. Pena,,,,,-21.89636,-62.48356,71.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-12.74622,-55.35065,191.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,,,,-12.06214,-57.26987,8.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-12.74776,-55.36091,178.7
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Boqueron,Doctor Pedro P. Pena,,,,,-22.19611,-61.28381,22.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-12.74929,-55.37112,33.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-12.74947,-55.34432,116
2022/05/06 17:34:00,AQUA_M-T,Brasil,GOIAS,DOVERLANDIA,Cerrado,,,,-16.56192,-52.6032,19.8
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Boqueron,Doctor Pedro P. Pena,,,,,-22.93665,-60.56919,12.4
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-12.75106,-55.35461,269.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAPEZAL,Cerrado,,,,-12.75484,-58.58218,13.7
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Boqueron,Doctor Pedro P. Pena,,,,,-22.9385,-60.58591,30.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAPEZAL,Cerrado,,,,-12.80209,-58.85983,10.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAPEZAL,Cerrado,,,,-12.80341,-58.86944,12
2022/05/06 17:34:00,AQUA_M-T,Brasil,GOIAS,IVOLANDIA,Cerrado,,,,-16.70221,-50.83985,24.6
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Presidente Hayes,Villa Hayes,,,,,-24.02425,-59.71725,10.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,,,,-12.82981,-58.99355,14.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazonia,,,,-11.4294,-57.7963,9.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,,,,-12.06979,-57.25935,85.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Amazonia,,,,-12.86004,-57.37934,13.6
2022/05/06 17:32:00,AQUA_M-T,Paraguay,San Pedro,San Estanislao,,,,,-24.32427,-56.16674,11.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-12.86586,-54.71571,13.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-12.86757,-54.72669,14.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,GOIAS,IVOLANDIA,Cerrado,,,,-16.70527,-50.85776,106.9
2022/05/06 17:32:00,AQUA_M-T,Paraguay,San Pedro,San Estanislao,,,,,-24.37204,-56.59403,5.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,,,,-12.89507,-57.11587,8.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,,,,-12.8964,-57.12503,4.6
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Alto Parana,Hernandarias,,,,,-25.21488,-54.52145,3.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,,,,-12.9135,-56.98432,11
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,LUCAS DO RIO VERDE,Amazonia,,,,-12.97898,-56.61864,12.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,GOIAS,CAIAPONIA,Cerrado,,,,-17.42415,-51.9777,7.9
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Caaguazu,Doctor J. Eulogio Estigarribia,,,,,-25.37934,-55.55421,3.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Cerrado,,,,-13.00645,-57.76279,8.9
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,,,,-12.07112,-57.2685,20.6
2022/05/06 17:32:00,AQUA_M-T,Paraguay,Neembucu,Tacuaras,,,,,-26.68097,-58.05913,5.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,,,-13.00727,-55.0928,18.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,,,,-13.08283,-59.15403,12.6
